Name	Transmitancia	Concentracao	Tamanho(x)	Carga	Unnamed: 6	Unnamed: 7
Int 3x 10 mg - C	98,459	10	3	0		
Int 3x 5 mg - C	98,142	5	3	0		
MC - 15x - 2 mg - C	97,889	2	15	1		
Int - 15x - 10 mg - D	97,855	10	15	0		
140mg-15x-MC-A	97,116	140	15	1		
Int 3x 5 mg - D	96,898	5	3	0		
200mg-Int0xC	96,532	200	0	0		
Int 3x 10 mg - A	95,217	10	3	0		
MC - 3x - 10 mg - A	94,593	10	3	1		
20mg-0x-MC-C	94,069	20	0	1		
Int - 15x - 5 mg - B	94,014	5	15	0		
MC - 15x - 5 mg - D	93,867	5	15	1		
MC - 3x - 10 mg - C	93,758	10	3	1		
MC - 15x - 2 mg - D	93,695	2	15	1		
140mg-15x-MC-B	93,482	140	15	1		
Int 3x 10 mg - B	93,412	10	3	0		
20mg-0x-MC-D	93,409	20	0	1		
MC - 15x - 5 mg - C	93,337	5	15	1		
Int - 15x - 10 mg - C	93,008	10	15	0		
MC - 15x - 10 mg - C	92,43	10	15	1		
MC - 3x - 5 mg - A	91,694	5	3	1		
Int - 15x - 10 mg - B	91,07	10	15	0		
Int - 15x - 5 mg - D	90,204	5	15	0		
Int 3x 5 mg - B	90,201	5	3	0		
MC - 3x - 5 mg - C	89,611	5	3	1		
Int - 15x - 5 mg - C	89,257	5	15	0		
200mg-Int0xD	89,211	200	0	0		
Int 3x 5 mg - A	88,689	5	3	0		
20mg-Int3xC	88,516	20	3	0		
MC - 15x - 10 mg - B	88,393	10	15	1		
200 mg - Int 15x D	87,961	200	15	0		
MC - 3x - 5 mg - B	87,494	5	3	1		
Int - 15x - 2 mg - B	87,385	2	15	0		
MC - 15x - 2 mg - A	87,294	2	15	1		
Int - 15x - 2 mg - D	87,145	2	15	0		
MC - 3x - 2 mg - D	86,993	2	3	1		
Int - 15x - 2 mg - A	86,289	2	15	0		
Int - 15x - 2 mg - C	85,579	2	15	0		
MC - 3x - 5 mg - D	85,439	5	3	1		
MC - 3x - 2 mg - C	85,104	2	3	1		
20mg-Int3xA	84,88	20	3	0		
MC - 3x - 10 mg - D	84,754	10	3	1		
140mg-Int0xA	84,66	140	0	0		
200 mg - Int 15x C	84,402	200	15	0		
50mg-0x-MC-C	83,712	50	0	1		
140mg-Int0xB	83,608	140	0	0		
MC - 3x - 10 mg - B	83,554	10	3	1		
200mg-15x-MC-A	83,173	200	15	1		
MC - 3x - 2 mg - A	82,388	2	3	1		
20mg-Int3xD	82,348	20	3	0		
20mg-Int3xB	81,958	20	3	0		
Int 0x 5 mg - B	81,859	5	0	0		
140mg-Int0xC	81,334	140	0	0		
90mg-Int0xA	81,114	90	0	0		
200mg-Int0xA	80,808	200	0	0		
Int 3x 10 mg - D	80,527	10	3	0		
MC - 15x - 10 mg - A	79,5	10	15	1		
200mg-0x-MC-D	79,326	200	0	1		
200mg-15x-MC-B	78,993	200	15	1		
90mg-Int0xC	78,927	90	0	0		
90mg-Int0xB	78,746	90	0	0		
20mg-0x-MC-A	78,721	20	0	1		
Int 0x 5 mg - A	77,12	5	0	0		
20mg-0x-MC-B	76,762	20	0	1		
MC - 15x - 5 mg - A	76,701	5	15	1		
MC - 3x - 2 mg - B	76,613	2	3	1		
200mg-Int0xB	76,281	200	0	0		
140mg-Int0xD	75,779	140	0	0		
MC - 15x - 5 mg - B	74,906	5	15	1		
90mg-Int0xD	74,342	90	0	0		
50mg-0x-MC-D	74,13	50	0	1		
MC - 15x - 10 mg - D	73,101	10	15	1		
200mg-0x-MC-C	72,647	200	0	1		
MC - 15x - 2 mg - B	72,301	2	15	1		
